,artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
186,"Emiway Bantai, Loka",NO LOVE,NO LOVE,49,213016,0.755,0.665,5,-7.229,0,0.11,0.531,0.0,0.299,0.876,82.941,4
187,Emiway Bantai,8 Saal,Pain,44,200347,0.945,0.535,2,-6.488,1,0.0644,0.483,0.0,0.0797,0.628,115.03,4
188,Emiway Bantai,8 Saal,Focus,38,176562,0.845,0.785,7,-5.747,0,0.105,0.719,0.0,0.105,0.723,139.871,4
189,Emiway Bantai,Shy,Shy,47,169351,0.446,0.774,8,-5.607,1,0.131,0.233,0.0,0.249,0.557,88.963,4
190,"Emiway Bantai, Young Galib",Baby,Baby,44,163200,0.826,0.757,0,-3.715,1,0.0916,0.0749,0.0,0.11,0.868,104.033,4
191,Emiway Bantai,King Of The Streets (Intro),King Of The Streets - Intro,47,120000,0.795,0.634,1,-5.78,1,0.0834,0.062,0.0,0.14,0.199,113.376,5
192,Emiway Bantai,Shukriya,Shukriya,29,210000,0.471,0.749,6,-4.258,0,0.191,0.738,0.0,0.146,0.235,92.477,4
193,"Emiway Bantai, Young Galib",Monsoon,BUSY,46,145909,0.461,0.499,4,-9.084,1,0.0871,0.684,1.75e-05,0.109,0.346,97.949,3
194,"Celina Sharma, Emiway Bantai",Stress Buster Buddy Vol4,Lean On,0,169692,0.662,0.716,11,-7.047,1,0.0381,0.0107,0.0,0.149,0.384,96.014,4
195,Emiway Bantai,Freeverse FEAST,Freeverse FEAST,40,166390,0.73,0.835,1,-5.405,1,0.293,0.154,0.0,0.105,0.557,85.031,4
196,"Celina Sharma, Emiway Bantai",Worldwide hits 8,Lean On,0,169692,0.662,0.716,11,-7.047,1,0.0381,0.0107,0.0,0.149,0.384,96.014,4
197,Emiway Bantai,8 Saal,8 Saal,41,260976,0.782,0.825,10,-2.099,1,0.261,0.36,0.0,0.167,0.438,101.368,4
198,"Emiway Bantai, Macklemore",Firse Machayenge (Remix),Firse Machayenge (Remix),36,209933,0.719,0.759,3,-6.59,0,0.261,0.273,0.0,0.0516,0.925,100.212,4
199,"Emiway Bantai, VAKSH",Monsoon,Kuch Aur,41,248175,0.425,0.336,1,-12.531,0,0.075,0.797,0.0,0.192,0.376,77.346,4
