,artists,album_name,track_name,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
87,"Singhsta, Yo Yo Honey Singh",Billo Tu Agg (feat. Yo Yo Honey Singh),Billo Tu Agg (feat. Yo Yo Honey Singh),44,220543,0.797,0.602,11,-5.57,0,0.0473,0.147,0.0,0.102,0.471,145.879,4
88,"Yo Yo Honey Singh, Leo Grewal",Sports Gaddiyan,Sports Gaddiyan,52,245142,0.83,0.66,1,-6.652,0,0.208,0.604,0.000183,0.106,0.679,94.003,4
89,Yo Yo Honey Singh,Bhaag Johnny,Aankhon Aankhon,58,244831,0.746,0.988,10,-4.565,0,0.0637,0.29,0.00218,0.131,0.61,130.042,4
90,Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,"Party All Night (From ""Boss"")",52,282792,0.854,0.738,6,-5.388,0,0.231,0.203,0.0,0.298,0.804,129.989,4
91,Yo Yo Honey Singh,Zorawar,Call Aundi,62,216549,0.656,0.701,10,-4.964,0,0.0387,0.578,0.0,0.137,0.664,159.934,4
92,Coeo,Disco Volante EP,Honey - Skit,54,86777,0.844,0.596,0,-8.665,1,0.24,0.136,1.84e-05,0.32,0.543,116.021,4
93,"Yo Yo Honey Singh, Jasmine Sandlas",Kick,Yaar Naa Miley (Remix By Yo Yo Honey Singh),31,245620,0.761,0.782,1,-5.981,1,0.0624,0.329,0.0,0.123,0.9,127.983,4
94,"Yo Yo Honey Singh, Malkit Singh",Gur Nalo Ishq Mitha - The Yoyo Remake,Gur Nalo Ishq Mitha - The Yoyo Remake,54,211673,0.774,0.848,2,-2.712,1,0.0392,0.0299,0.00932,0.0491,0.607,100.027,4
95,"Meet Bros., Sukhbir, Neha Kakkar, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,"Gal Ban Gayi (From ""Gal Ban Gayi"") (feat. Sukhbir, Neha Kakkar, Yo Yo Honey Singh)",31,254788,0.722,0.933,1,-3.173,1,0.069,0.203,5.21e-06,0.166,0.842,108.002,4
96,"Alfaaz, Yo Yo Honey Singh",Tell Me Once,Tell Me Once,56,216830,0.851,0.733,11,-5.779,0,0.0401,0.528,0.0,0.111,0.574,112.028,4
97,"KK, Shefali Alvares, Yo Yo Honey Singh, Pritam",Race 2 (Original Motion Picture Soundtrack),Party On My Mind,63,222133,0.715,0.864,11,-5.013,0,0.0751,0.0188,0.0,0.719,0.57,122.016,4
98,"Raja Baath, Yo Yo Honey Singh",The Crown,Chaska,47,196546,0.812,0.777,1,-4.337,1,0.0399,0.656,1.08e-06,0.0605,0.948,88.971,4
99,"Yo Yo Honey Singh, Simar Kaur, Ishers",Yo Yo Honey Singh Is Back,"Dil Chori (From ""Sonu Ke Titu Ki Sweety"")",56,226696,0.765,0.89,5,-4.608,0,0.0824,0.502,0.0,0.0423,0.918,99.961,4
100,Yo Yo Honey Singh,Dheere Dheere,Dheere Dheere,69,212412,0.73,0.58,0,-7.976,1,0.124,0.0399,2.48e-05,0.0703,0.55,167.915,4
101,Yo Yo Honey Singh,Desi Kalakaar,Love Dose,71,224444,0.843,0.768,11,-4.554,0,0.117,0.256,0.0,0.614,0.662,139.998,4
102,Yo Yo Honey Singh,Blue Eyes,Blue Eyes,70,220943,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067,4
103,Yo Yo Honey Singh,Gatividhi,Gatividhi,57,230037,0.901,0.863,1,-4.754,1,0.116,0.0686,0.0,0.0318,0.877,102.006,4
104,Yo Yo Honey Singh,Lungi Dance,Lungi Dance,60,275399,0.684,0.958,1,-4.793,1,0.264,0.314,1.94e-06,0.618,0.817,163.95,4
105,Yo Yo Honey Singh,Urvashi,Urvashi,62,215483,0.792,0.703,0,-4.343,1,0.0368,0.195,0.0,0.072,0.634,105.995,4
106,Yo Yo Honey Singh,Desi Kalakaar,Desi Kalakaar,71,253352,0.751,0.67,0,-4.587,1,0.267,0.0796,0.00018,0.0908,0.766,156.062,4
107,"Yo Yo Honey Singh, Simar Kaur, Ishers",Sonu Ke Titu Ki Sweety,Dil Chori,58,226696,0.765,0.89,5,-4.608,0,0.0824,0.502,0.0,0.0423,0.918,99.961,4
108,"Yo Yo Honey Singh, Jasmine Sandlas",Kick,Yaar Naa Miley,60,243206,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988,4
109,ISTERIF,Honey See You,Honey See You,64,88464,0.548,0.644,1,-6.305,1,0.0402,0.0848,0.0,0.425,0.698,85.302,4
110,"Meet Bros., Yo Yo Honey Singh, Jaz Dhami, Aditi Singh Sharma",Ki & Ka,High Heels Te Nachche,59,212115,0.796,0.85,1,-3.641,1,0.203,0.0992,0.0,0.129,0.559,136.03,4
111,Yo Yo Honey Singh,Lashkare,Lashkare,44,204489,0.794,0.747,7,-3.148,0,0.0709,0.52,0.0,0.0725,0.741,97.957,4
112,"Yo Yo Honey Singh, Jasmine Sandlas",Yo Yo Honey Singh Is Back,"Yaar Naa Miley (From ""Kick"")",57,243206,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01e-06,0.75,0.551,127.988,4
113,"Jaz Dhami, Yo Yo Honey Singh",High Heels,High Heels,60,297770,0.891,0.913,1,-4.453,1,0.149,0.394,0.000173,0.373,0.772,130.045,4
114,Samia,Honey,Honey,56,203826,0.806,0.507,11,-6.43,1,0.0428,0.45,2.11e-06,0.0987,0.788,119.993,5
115,"Anirudh Ravichander, Yo Yo Honey Singh, Hiphop Tamizha",Ethir Neechal (Original Motion Picture Soundtrack),Ethir Neechal,63,270720,0.752,0.97,5,-4.167,1,0.0943,0.0556,1.21e-06,0.0999,0.537,119.97,4
116,"Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha",Saiyaan Ji,Saiyaan Ji,57,205450,0.896,0.678,0,-2.546,0,0.0815,0.0137,4.1e-05,0.11,0.604,130.024,4
117,"Yo Yo Honey Singh, Neha Kakkar, Navraj Hans",Sonu Ke Titu Ki Sweety,Chhote Chhote Peg,57,203881,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,4
118,"Yo Yo Honey Singh, Neha Kakkar",Yo Yo Honey Singh Is Back,"Sunny Sunny (From ""Yaariyan"")",55,243319,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,4
119,"Yo Yo Honey Singh, Neha Kakkar",Yaariyan,Sunny Sunny,58,243319,0.794,0.878,11,-7.502,0,0.078,0.00138,0.029,0.197,0.352,129.978,4
120,Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,"Chaar Botal Vodka (From ""Ragini Mms 2"")",60,225837,0.877,0.881,4,-3.713,0,0.0713,0.421,0.000345,0.12,0.874,123.024,4
121,"Benny Dayal, Shefali Alvares, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,"Abcd -Yaariyan (From ""Yaariyan"")",48,205513,0.707,0.815,0,-4.282,1,0.0573,0.0217,0.0,0.0466,0.735,128.038,4
122,"Yo Yo Honey Singh, Millind Gaba, Asli GOLD",Paris Ka Trip,Paris Ka Trip,65,196430,0.814,0.723,7,-5.638,1,0.235,0.178,0.0,0.0445,0.768,74.981,4
123,Samia,Breathing Song / Honey,Honey,49,203826,0.806,0.507,11,-6.43,1,0.0428,0.45,2.11e-06,0.0987,0.788,119.993,5
124,"Sweetaj Brar, Yo Yo Honey Singh","Care Ni Karda (From ""Chhalaang"")","Care Ni Karda (From ""Chhalaang"")",61,192992,0.937,0.729,0,-2.931,1,0.094,0.129,0.0,0.291,0.736,114.671,5
125,Bella,Honey Singh,Honey Singh,26,192934,0.714,0.449,0,-11.033,1,0.0597,0.0931,0.000107,0.0769,0.208,136.999,4
126,Yo Yo Honey Singh,"Kudi Chamkeeli (From ""Selfiee"")","Kudi Chamkeeli (From ""Selfiee"")",62,246467,0.767,0.805,7,-4.808,1,0.0466,0.125,0.0,0.157,0.607,114.997,4
127,Yo Yo Honey Singh,One Bottle Down,One Bottle Down,63,196556,0.655,0.629,1,-7.231,1,0.0415,0.00109,0.063,0.0752,0.193,131.966,4
128,"Yo Yo Honey Singh, Neha Kakkar, Navraj Hans",Yo Yo Honey Singh Is Back,"Chhote Chhote Peg (From ""Sonu Ke Titu Ki Sweety"")",50,203881,0.831,0.908,7,-3.317,1,0.101,0.328,0.00371,0.077,0.734,104.962,4
129,"Tony Kakkar, Yo Yo Honey Singh, Neha Kakkar",Kanta Laga,Kanta Laga,58,207084,0.907,0.74,9,-5.059,0,0.0857,0.0214,0.00196,0.193,0.796,95.002,4
130,Yo Yo Honey Singh,Together Forever,Together Forever,47,229218,0.737,0.832,9,-5.199,0,0.165,0.26,0.0,0.108,0.67,160.022,4
131,"Yo Yo Honey Singh, Iulia Vantur",Yai Re,Yai Re,53,245032,0.791,0.892,0,-4.005,1,0.08,0.0076,6.33e-06,0.123,0.922,123.955,4
132,"Yo Yo Honey Singh, Neha Kakkar, Singhsta, Pinaki, Sean, Allistair",Super Hits Of Yo Yo Honey Singh,"Makhna (From ""Makhna"")",50,191761,0.846,0.739,11,-3.838,0,0.171,0.0385,2.24e-05,0.0929,0.259,104.984,4
133,"Meet Bros., Yo Yo Honey Singh, Jaz Dhami, Aditi Singh Sharma",Yo Yo Honey Singh Is Back,"High Heels Te Nachche (From ""Ki &amp; Ka"") (feat. Jaz Dhami, Aditi Singh Sharma)",54,212115,0.796,0.85,1,-3.641,1,0.203,0.0992,0.0,0.129,0.559,136.03,4
134,"Honey Singh, Dollar D",Hogi Meri Jeet 2,Hogi Meri Jeet 2,27,152195,0.688,0.787,3,-3.865,0,0.281,0.456,0.0,0.331,0.735,164.105,4
135,"Yo Yo Honey Singh, Simar Kaur",Loca,Loca,49,210488,0.937,0.851,0,-3.81,1,0.0642,0.0251,0.0,0.0704,0.655,111.973,4
136,"Guru Randhawa, Yo Yo Honey Singh, Divya Khosla Kumar",Designer,Designer,57,219095,0.41,0.907,4,-3.105,0,0.101,0.0689,0.0,0.247,0.793,194.179,4
137,"Singhsta, Yo Yo Honey Singh",Billo Tu Agg (feat. Yo Yo Honey Singh),Billo Tu Agg (feat. Yo Yo Honey Singh),44,220543,0.797,0.602,11,-5.57,0,0.0473,0.147,0.0,0.102,0.471,145.879,4
138,"Yo Yo Honey Singh, Leo Grewal",Sports Gaddiyan,Sports Gaddiyan,52,245142,0.83,0.66,1,-6.652,0,0.208,0.604,0.000183,0.106,0.679,94.003,4
139,Yo Yo Honey Singh,Bhaag Johnny,Aankhon Aankhon,58,244831,0.746,0.988,10,-4.565,0,0.0637,0.29,0.00218,0.131,0.61,130.042,4
140,Yo Yo Honey Singh,Yo Yo Honey Singh Is Back,"Party All Night (From ""Boss"")",52,282792,0.854,0.738,6,-5.388,0,0.231,0.203,0.0,0.298,0.804,129.989,4
141,Yo Yo Honey Singh,Zorawar,Call Aundi,62,216549,0.656,0.701,10,-4.964,0,0.0387,0.578,0.0,0.137,0.664,159.934,4
142,Coeo,Disco Volante EP,Honey - Skit,54,86777,0.844,0.596,0,-8.665,1,0.24,0.136,1.84e-05,0.32,0.543,116.021,4
143,"Yo Yo Honey Singh, Jasmine Sandlas",Kick,Yaar Naa Miley (Remix By Yo Yo Honey Singh),31,245620,0.761,0.782,1,-5.981,1,0.0624,0.329,0.0,0.123,0.9,127.983,4
144,"Yo Yo Honey Singh, Malkit Singh",Gur Nalo Ishq Mitha - The Yoyo Remake,Gur Nalo Ishq Mitha - The Yoyo Remake,54,211673,0.774,0.848,2,-2.712,1,0.0392,0.0299,0.00932,0.0491,0.607,100.027,4
145,"Meet Bros., Sukhbir, Neha Kakkar, Yo Yo Honey Singh",Yo Yo Honey Singh Is Back,"Gal Ban Gayi (From ""Gal Ban Gayi"") (feat. Sukhbir, Neha Kakkar, Yo Yo Honey Singh)",31,254788,0.722,0.933,1,-3.173,1,0.069,0.203,5.21e-06,0.166,0.842,108.002,4
146,"Alfaaz, Yo Yo Honey Singh",Tell Me Once,Tell Me Once,56,216830,0.851,0.733,11,-5.779,0,0.0401,0.528,0.0,0.111,0.574,112.028,4
